顯示區域,縣市名稱,高中/國中,學校名稱,Latitude,Longitude,場地,學生數,籃球(男) ,113年聯賽成績,籃球(女) ,排球(男),排球(女),足球(男),足球(女),壘球 
 區域 6: 高雄區（高中）,高雄市,高中,國立岡山農工,22.802127,120.2884081,風雨球場,1560,乙組,預賽淘汰12/19,,,,,,
 區域 6: 高雄區（高中）,高雄市,高中,市立三民高中,22.6628134,120.327481,風雨球場,1199,乙組,預賽淘汰12/16,乙組,乙組,乙組,,,
 區域 6: 高雄區（高中）,高雄市,高中,市立新莊高中,22.6813634,120.3176322,風雨球場,1488,乙組,預賽淘汰12/16,乙組,乙組,乙組,,,
 區域 6: 高雄區（高中）,高雄市,高中,市立左營高中,22.6933707,120.296147,風雨球場,1554,乙組,預賽淘汰12/13,,乙組,,,,
 區域 6: 高雄區（高中）,高雄市,高中,中正國防幹部預備學校,22.6061637,120.3591301,風雨球場,,乙組,預賽淘汰12/13,,乙組,,,,
 區域 6: 高雄區（高中）,高雄市,高中,市立高雄高工,22.6504729,120.3271523,無室內球場,2593,乙組,預賽淘汰12/16,,乙組,乙組,,,
 區域 6: 高雄區（高中）,高雄市,高中,市立高雄高商,22.6255735,120.3090231,無室內球場,1757,乙組,預賽淘汰12/16,,乙組,乙組,,,
 區域 6: 高雄區（高中）,高雄市,高中,私立復華高中,22.6210088,120.3133894,無室內球場,1106,乙組,預賽淘汰12/16,,,乙組,,,
 區域 6: 高雄區（高中）,高雄市,高中,市立海青工商,22.6748742,120.2851058,無室內球場,1697,乙組,預賽淘汰12/16,乙組,乙組,,,,
 區域 6: 高雄區（高中）,高雄市,高中,市立中正高中,22.6268132,120.338686,無室內球場,,乙組,預賽淘汰12/13,,乙組,,,,
 區域 6: 高雄區（高中）,高雄市,高中,私立中華藝校,22.6544422,120.2892597,無室內球場,610,乙組,預賽淘汰12/13,,,,,,
 區域 6: 高雄區（高中）,高雄市,高中,私立立志高中,22.6523162,120.3263549,無室內球場,1923,乙組,預賽淘汰12/13,,,,,,
 區域 6: 高雄區（高中）,高雄市,高中,國立鳳山高中,22.6298456,120.3457239,無室內球場,1918,乙組,預賽淘汰1/9,,乙組,乙組,,,
 區域 6: 高雄區（高中）,高雄市,高中,私立樹德家商,22.6431625,120.3282916,無室內球場,4402,乙組,預賽淘汰1/9,,乙組,乙組,,,
 區域 6: 高雄區（高中）,高雄市,高中,國立高師大附中,22.6280117,120.3221894,無室內球場,1190,乙組,四強5/17,,乙組,乙組,,,
 區域 6: 高雄區（高中）,高雄市,高中,天主教道明中學,22.6333432,120.3228693,有室內球場但無法使用,3045,乙組,預賽淘汰12/24,乙組,乙組,,,,
