顯示區域,縣市名稱,高中/國中,學校名稱,Latitude,Longitude,場地,學生數,籃球(男) ,113年聯賽成績,籃球(女) ,排球(男),排球(女),足球(男),足球(女),壘球 
區域 6: 高雄區（國中）,高雄市,國中,市立阿蓮國中,22.885652,120.3259774,風雨球場,558,乙組,預賽淘汰12/31,,,,乙組,,
區域 6: 高雄區（國中）,高雄市,國中,市立民族國中,22.6398135,120.3326987,風雨球場,458,乙組,預賽淘汰12/31,乙組,,,,,
區域 6: 高雄區（國中）,高雄市,國中,市立橋頭國中,22.7591054,120.3074197,風雨球場,668,乙組,預賽淘汰12/31,,,,,,
區域 6: 高雄區（國中）,高雄市,國中,市立明華國中,22.6616977,120.300953,風雨球場,1637,乙組,預賽淘汰12/31,,,,,,
區域 6: 高雄區（國中）,高雄市,國中,市立六龜高中附設國中部,22.9927961,120.6353933,風雨球場,99,乙組,預賽淘汰12/31,,,,,,
區域 6: 高雄區（國中）,高雄市,國中,市立青年國中,22.6308406,120.3484727,風雨球場,1163,乙組,八強4/11,,,,,,
區域 6: 高雄區（國中）,高雄市,國中,市立國昌國中,22.7195361,120.2855241,無室內球場,1676,乙組,預賽淘汰12/31,乙組,,,,,
區域 6: 高雄區（國中）,高雄市,國中,市立鳳山國中,22.6250253,120.3721726,無室內球場,1508,乙組,預賽淘汰12/31,,,,,,
區域 6: 高雄區（國中）,高雄市,國中,市立岡山國中,22.7916663,120.3034236,無室內球場,1265,乙組,預賽淘汰12/31,,,,,,
區域 6: 高雄區（國中）,高雄市,國中,市立鳳翔國中,22.5970321,120.3485443,無室內球場,767,乙組,預賽淘汰12/31,,,,,,
區域 6: 高雄區（國中）,高雄市,國中,市立陽明國中,22.6439914,120.3405423,無室內球場,2696,乙組,預賽淘汰12/31,,,,,,
區域 6: 高雄區（國中）,高雄市,國中,市立中山國中,22.5661085,120.356176,無室內球場,1322,乙組,複賽淘汰2/26,乙組,,,,,
區域 6: 高雄區（國中）,高雄市,國中,市立鳳甲國中,22.6168856,120.3426385,無室內球場,1220,甲組,八強4/19,乙組,,,,,
區域 6: 高雄區（國中）,高雄市,國中,市立美濃國中,22.893447,120.5423941,室內球場,243,乙組,預賽淘汰12/31,乙組,,,,,
區域 6: 高雄區（國中）,高雄市,國中,私立義大國際高中附設國中部,22.7283475,120.4054928,室內球場,159,乙組,預賽淘汰12/31,,,,,,
區域 6: 高雄區（國中）,高雄市,國中,市立梓官國中,22.7626438,120.2634505,室內球場,408,乙組,預賽淘汰12/31,,,,,,
區域 6: 高雄區（國中）,高雄市,國中,市立鹽埕國中,22.6228193,120.2880459,室內球場,422,乙組,預賽淘汰12/31,,,,,,
區域 6: 高雄區（國中）,高雄市,國中,市立仁武高中附設國中部,22.7025481,120.355914,室內球場,627,乙組,預賽淘汰12/30.,甲組,,,,,
區域 6: 高雄區（國中）,高雄市,國中,市立七賢國中,22.6576399,120.2894332,室內球場,1505,甲組,資格賽淘汰10/21,甲組,,,,,
區域 7: 花蓮區（國中）,花蓮縣,國中,縣立秀林國中,24.1254991,121.6537992,無室內球場,206,乙組,預賽淘汰12/13,甲組,,,,乙組,
區域 7: 花蓮區（國中）,花蓮縣,國中,縣立美崙國中,23.9980304,121.6286664,無室內球場,264,乙組,預賽淘汰12/13,,,,甲組,,
區域 7: 花蓮區（國中）,花蓮縣,國中,縣立鳳林國中,23.7444866,121.4488473,無室內球場,222,乙組,預賽淘汰12/13,乙組,,,,,
區域 7: 花蓮區（國中）,花蓮縣,國中,縣立壽豐國中,23.8452882,121.5008687,無室內球場,124,乙組,預賽淘汰12/13,,,,,,
區域 7: 花蓮區（國中）,花蓮縣,國中,縣立花崗國中,23.9770122,121.6124429,無室內球場,1170,乙組,複賽淘汰2/26,,,,乙組,,
區域 7: 花蓮區（國中）,花蓮縣,國中,縣立吉安國中,23.9834711,121.5616183,無室內球場,206,乙組,複賽淘汰2/26,,,乙組,,,
區域 7: 花蓮區（國中）,花蓮縣,國中,私立慈大附中附設國中部,24.0009434,121.5754627,室內球場,640,乙組,預賽淘汰12/13,,乙組,乙組,,,
區域 7: 花蓮區（國中）,花蓮縣,國中,縣立宜昌國中,23.9721814,121.5865597,室內球場,672,乙組,預賽淘汰12/13,,乙組,乙組,,,
區域 7: 花蓮區（國中）,花蓮縣,國中,縣立玉里國中,23.3353266,121.3129105,室內球場,470,乙組,預賽淘汰12/13,乙組,,,,,
區域 7: 花蓮區（國中）,花蓮縣,國中,縣立自強國中,23.9974094,121.5993702,室內球場,517,乙組,預賽淘汰12/13,乙組,,,,,
區域 7: 花蓮區（國中）,花蓮縣,國中,縣立三民國中,23.4227934,121.3484448,室內球場,96,乙組,預賽淘汰12/13,,,,,,
區域 7: 花蓮區（國中）,花蓮縣,國中,縣立國風國中,23.9781451,121.5957218,室內球場,1514,甲組,複賽淘汰1/12,甲組,,,,,
特邀支援區: 澎湖，金門，連江（國中）,金門縣,國中,縣立烈嶼國中,24.4288569,118.2475458,無室內球場,88,乙組,預賽淘汰12/13,乙組,,,,,
特邀支援區: 澎湖，金門，連江（國中）,金門縣,國中,縣立金湖國中,24.436582,118.4217868,室內球場,428,乙組,預賽淘汰12/13,乙組,,,,,
特邀支援區: 澎湖，金門，連江（國中）,金門縣,國中,縣立金寧國中(小),24.4567186,118.3267892,室內球場,299,乙組,預賽淘汰12/13,乙組,,,,,
特邀支援區: 澎湖，金門，連江（國中）,金門縣,國中,縣立金城國中,24.4320647,118.3155101,室內球場,876,乙組,複賽淘汰2/26,乙組,,,,,
特邀支援區: 澎湖，金門，連江（國中）,金門縣,國中,縣立金沙國中,24.4906226,118.4155572,室內球場,186,乙組,複賽淘汰2/26,乙組,,,,,
特邀支援區: 澎湖，金門，連江（國中）,連江縣,國中,縣立東引國中(小),26.3747168,120.4804048,室內球場,31,乙組,預賽淘汰1/1,,,,,,
特邀支援區: 澎湖，金門，連江（國中）,連江縣,國中,縣立介壽國中(小),26.1545215,119.9552627,室內球場,126,乙組,預賽淘汰1/1,,,,,,
特邀支援區: 澎湖，金門，連江（國中）,連江縣,國中,縣立中正國中(小),26.160587,119.9198424,室內球場,57,乙組,複賽淘汰2/26,,,,,,
特邀支援區: 澎湖，金門，連江（國中）,澎湖縣,國中,縣立中正國中,23.5604024,119.598715,室內球場,266,乙組,預賽淘汰12/11,,,,,,
特邀支援區: 澎湖，金門，連江（國中）,澎湖縣,國中,縣立馬公國中,23.5679213,119.5813172,室內球場,887,乙組,八強4/11,乙組,乙組,乙組,,,
浮動小區: 台東區（國中）,台東縣,國中,縣立新生國中,22.762925,121.1347022,風雨球場,1420,乙組,預賽淘汰12/31,乙組,,,,,
浮動小區: 台東區（國中）,台東縣,國中,縣立大王國中,22.6152634,121.0059137,風雨球場,140,乙組,預賽淘汰12/31,乙組,,,,,
浮動小區: 台東區（國中）,台東縣,國中,縣立知本國中,22.7173721,121.0480681,風雨球場,116,乙組,預賽淘汰12/31,,,,,,
浮動小區: 台東區（國中）,台東縣,國中,私立均一高中附設國中部,22.7700851,121.1270039,風雨球場,145,乙組,複賽淘汰2/26,乙組,乙組,乙組,,,
浮動小區: 台東區（國中）,台東縣,國中,縣立東海國中,22.7455704,121.1476026,無室內球場,600,乙組,預賽淘汰12/31,,,,,,
浮動小區: 台東區（國中）,台東縣,國中,縣立賓茂國中,22.5540555,120.9532123,無室內球場,40,乙組,預賽淘汰12/31,,,,,,
浮動小區: 台東區（國中）,台東縣,國中,縣立豐田國中,22.7718377,121.0905766,室內球場,221,乙組,預賽淘汰12/31,乙組,,,甲組,,
浮動小區: 台東區（國中）,台東縣,國中,縣立鹿野國中,22.9077405,121.1348813,室內球場,57,乙組,預賽淘汰12/31,乙組,,,,,
浮動小區: 台東區（國中）,台東縣,國中,縣立大武國中,22.3653357,120.9065982,室內球場,128,乙組,預賽淘汰12/31,乙組,,,,,
浮動小區: 台東區（國中）,台東縣,國中,縣立新港國中,23.1012915,121.3764976,室內球場,200,乙組,預賽淘汰12/31,乙組,,,,,
浮動小區: 台東區（國中）,台東縣,國中,縣立長濱國中,23.2743897,121.424174,室內球場,64,乙組,預賽淘汰12/31,,,,,,
浮動小區: 台東區（國中）,台東縣,國中,縣立池上國中,23.1152295,121.2052174,室內球場,146,乙組,預賽淘汰12/30,,,,,,
浮動小區: 台東區（國中）,台東縣,國中,縣立蘭嶼高中附設國中部,22.0549737,121.5198716,室內球場,77,乙組,預賽淘汰12/28,,,,,,
浮動小區: 台東區（國中）,台東縣,國中,縣立關山國中,23.0443001,121.1599422,室內球場,298,乙組,複賽淘汰2/26,乙組,,,,,
區域 6: 高雄區（國中）,屏東縣,國中,縣立鹽埔國中,22.7549757,120.5735952,風雨球場,297,乙組,預賽淘汰11/21,乙組,,,,,
區域 6: 高雄區（國中）,屏東縣,國中,縣立至正國中,22.6900845,120.4931824,風雨球場,526,甲組,資格賽淘汰10/21,,,甲組,,,
區域 6: 高雄區（國中）,屏東縣,國中,縣立中正國中,22.6818099,120.5000691,無室內球場,1737,乙組,預賽淘汰11/21,乙組,,,乙組,,
區域 6: 高雄區（國中）,屏東縣,國中,縣立萬丹國中,22.5965949,120.4879973,無室內球場,641,乙組,預賽淘汰11/21,,乙組,乙組,,,
區域 6: 高雄區（國中）,屏東縣,國中,縣立潮州國中,22.5538252,120.5433808,無室內球場,675,乙組,預賽淘汰11/21,乙組,甲組,,,,
區域 6: 高雄區（國中）,屏東縣,國中,縣立東新國中,22.4729911,120.4647347,無室內球場,401,乙組,預賽淘汰11/21,,,,,,
區域 6: 高雄區（國中）,屏東縣,國中,私立美和高中附設國中部,22.6007124,120.5599531,無室內球場,673,乙組,複賽淘汰11/21,乙組,,,,,
區域 6: 高雄區（國中）,屏東縣,國中,縣立明正國中,22.6833347,120.504113,室內球場,1695,乙組,預賽淘汰11/21,,甲組,甲組,,,
區域 6: 高雄區（國中）,屏東縣,國中,縣立麟洛國中,22.6555047,120.5193974,室內球場,144,甲組,資格賽淘汰10/21,,,,,,
區域 6: 高雄區（國中）,屏東縣,國中,縣立萬新國中,22.5615976,120.4912591,室內球場,282,乙組,複賽淘汰2/26,乙組,,,,,
區域 4: 彰化區（國中）,南投縣,國中,縣立仁愛國中,24.0317914,121.141863,無室內球場,95,乙組,預賽淘汰12/12,乙組,,,,,
區域 4: 彰化區（國中）,南投縣,國中,縣立北梅國中,24.0568733,120.9131297,無室內球場,51,乙組,預賽淘汰12/12,,,,,,
區域 4: 彰化區（國中）,南投縣,國中,縣立宏仁國中,23.9615094,120.972856,無室內球場,913,乙組,四強4/12,,,,,,
區域 4: 彰化區（國中）,南投縣,國中,縣立名間國中,23.8456443,120.6954786,室內球場,237,乙組,預賽淘汰12/12,乙組,,,,,水泥地
區域 4: 彰化區（國中）,南投縣,國中,縣立水里國中,23.8102797,120.8561986,室內球場,295,乙組,預賽淘汰12/12,乙組,,,,,
